src_ip,dst_ip,protocol,timestamp,length,src_port,dst_port,protocol_type
52.37.252.164,192.168.0.123,6,1722604374.415120,54,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604374.415120,100,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722604374.468185,54,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722604374.855093,700,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604374.855093,92,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722604374.855159,54,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722604374.856068,96,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722604375.224806,54,443.0,53044.0,TCP
192.168.0.123,35.186.224.24,6,1722604377.447732,55,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722604377.502392,66,443.0,52625.0,TCP
192.168.0.123,35.186.224.40,6,1722604386.277205,97,52635.0,443.0,TCP
192.168.0.123,192.168.0.1,17,1722604386.277890,95,63734.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722604386.278033,95,54431.0,53.0,UDP
35.186.224.40,192.168.0.123,6,1722604386.317522,54,443.0,52635.0,TCP
192.168.0.1,192.168.0.123,17,1722604386.328172,351,53.0,63734.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.342953,1292,65340.0,443.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.343039,1292,65340.0,443.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.343067,1292,65340.0,443.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.343184,117,65340.0,443.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.388072,1292,443.0,65340.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.388365,1292,443.0,65340.0,UDP
192.168.0.1,192.168.0.123,17,1722604386.393609,152,53.0,54431.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.405930,1292,65340.0,443.0,UDP
35.186.224.40,192.168.0.123,6,1722604386.427181,94,443.0,52635.0,TCP
142.250.67.170,192.168.0.123,17,1722604386.449008,1292,443.0,65340.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.449008,338,443.0,65340.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.449008,95,443.0,65340.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.449894,120,65340.0,443.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.449944,996,443.0,65340.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.449944,66,443.0,65340.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.449996,75,65340.0,443.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.450071,73,65340.0,443.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.450301,1288,65340.0,443.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.450346,112,65340.0,443.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.467327,1292,443.0,65340.0,UDP
192.168.0.123,35.186.224.40,6,1722604386.469701,54,52635.0,443.0,TCP
142.250.67.170,192.168.0.123,17,1722604386.494391,162,443.0,65340.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.494711,75,65340.0,443.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.495411,71,443.0,65340.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.495411,67,443.0,65340.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.495606,75,65340.0,443.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.663122,388,443.0,65340.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.663122,139,443.0,65340.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.663122,388,443.0,65340.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.663477,79,65340.0,443.0,UDP
192.168.0.123,142.250.67.170,17,1722604386.663542,77,65340.0,443.0,UDP
142.250.67.170,192.168.0.123,17,1722604386.735479,66,443.0,65340.0,UDP
192.168.0.126,224.0.0.251,17,1722604388.324549,82,5353.0,5353.0,UDP
192.168.0.123,35.186.224.22,6,1722604388.457446,55,53178.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722604388.546978,66,443.0,53178.0,TCP
192.168.0.126,224.0.0.251,17,1722604388.546978,157,5353.0,5353.0,UDP
192.168.0.126,224.0.0.251,17,1722604388.679593,101,5353.0,5353.0,UDP
192.168.0.126,224.0.0.251,17,1722604388.799984,157,5353.0,5353.0,UDP
192.168.0.126,224.0.0.251,17,1722604388.907316,101,5353.0,5353.0,UDP
192.168.0.123,35.186.224.40,6,1722604389.004253,82,52427.0,443.0,TCP
192.168.0.126,224.0.0.251,17,1722604389.059285,157,5353.0,5353.0,UDP
35.186.224.40,192.168.0.123,6,1722604389.069499,54,443.0,52427.0,TCP
192.168.0.126,224.0.0.251,17,1722604389.190923,101,5353.0,5353.0,UDP
35.186.224.40,192.168.0.123,6,1722604389.190923,78,443.0,52427.0,TCP
192.168.0.123,35.186.224.40,6,1722604389.236923,54,52427.0,443.0,TCP
192.168.0.126,224.0.0.251,17,1722604389.292229,475,5353.0,5353.0,UDP
192.168.0.126,224.0.0.251,17,1722604389.393002,82,5353.0,5353.0,UDP
192.168.0.126,224.0.0.251,17,1722604389.395325,171,5353.0,5353.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,422,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,494,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,490,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,470,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,502,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,484,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,486,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722604389.511731,486,48219.0,1900.0,UDP
104.199.240.237,192.168.0.123,6,1722604389.577382,65,4070.0,52429.0,TCP
192.168.0.123,104.199.240.237,6,1722604389.624547,54,52429.0,4070.0,TCP
192.168.0.123,192.168.0.1,17,1722604390.187944,79,53321.0,53.0,UDP
192.168.0.1,192.168.0.123,17,1722604390.275381,161,53.0,53321.0,UDP
192.168.0.123,13.107.5.93,6,1722604390.276118,66,53179.0,443.0,TCP
192.168.0.126,224.0.0.251,17,1722604390.436449,503,5353.0,5353.0,UDP
13.107.5.93,192.168.0.123,6,1722604390.436578,66,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604390.436622,54,53179.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604390.436861,778,53179.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.479001,54,443.0,53179.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.479001,153,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604390.479903,849,53179.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.520469,54,443.0,53179.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.523240,1514,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604390.523289,66,53179.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.523431,1514,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604390.523523,54,53179.0,443.0,TCP
